event_id,event_year,event_month,event_day,account_id,sampled,event_text,type,subtype,actors,placses,keywords,wos_keys,bib_keys,extracted_from,comment
12093,2018,,,66,,,,,,,,WOS:000419686400021,,wos,
12094,2018,,,66,,,,,,,,WOS:000419686400035,,wos,
12095,2017,,,66,,,,,,,,WOS:000419735100017,,wos,
12096,2019,,,66,,,,,,,,WOS:000455483000101,,wos,
12097,2018,,,66,,,,,,,,WOS:000419767600006,,wos,
12098,2017,,,66,,,,,,,,WOS:000419749300006,,wos,
12099,2019,,,66,,,,,,,,WOS:000489132200001,,wos,
12100,2018,,,66,,,,,,,,WOS:000419767600020,,wos,
12101,2018,,,66,,,,,,,,WOS:000419794800039,,wos,
12102,2019,,,66,,,,,,,,WOS:000460119900013,,wos,
12103,2018,,,66,,,,,,,,WOS:000419794800041,,wos,
12104,2017,,,66,,,,,,,,WOS:000397879800005,,wos,
12105,2018,,,66,,,,,,,,WOS:000427113600002,,wos,
12106,2011,,,66,,,,,,,,WOS:000297229000014,,wos,
12107,2017,,,66,,,,,,,,WOS:000419843900079,,wos,
12108,2018,,,66,,,,,,,,WOS:000419844700006,,wos,
12109,2019,,,66,,,,,,,,WOS:000466797100042,,wos,
12110,2018,,,66,,,,,,,,WOS:000419891900008,,wos,
12111,2018,,,66,,,,,,,,WOS:000443012300012,,wos,
12112,2018,,,66,,,,,,,,WOS:000419891900015,,wos,
12113,2018,,,66,,,,,,,,WOS:000434190600006,,wos,
12114,2018,,,66,,,,,,,,WOS:000419898200003,,wos,
12115,2017,,,66,,,,,,,,WOS:000423240800091,,wos,
12116,2017,,,66,,,,,,,,WOS:000415747500009,,wos,
12117,2018,,,66,,,,,,,,WOS:000419915400027,,wos,
12118,2017,,,66,,,,,,,,WOS:000401577800001,,wos,
12119,2019,,,66,,,,,,,,WOS:000457633200027,,wos,
12120,2018,,,66,,,,,,,,WOS:000419941000015,,wos,
12121,2018,,,66,,,,,,,,WOS:000419944000008,,wos,
12122,2018,,,66,,,,,,,,WOS:000419945400059,,wos,
12123,2018,,,66,,,,,,,,WOS:000419952400055,,wos,
12124,2017,,,66,,,,,,,,WOS:000418334000001,,wos,
12125,2018,,,66,,,,,,,,WOS:000419962200002,,wos,
12126,2014,,,66,,,,,,,,WOS:000342277800002,,wos,
12127,2017,,,66,,,,,,,,WOS:000397426200001,,wos,
12128,2019,,,66,,,,,,,,WOS:000464216000001,,wos,
12129,2017,,,66,,,,,,,,WOS:000417250100007,,wos,
12130,2017,,,66,,,,,,,,WOS:000412678500003,,wos,
12131,2017,,,66,,,,,,,,WOS:000411731800053,,wos,
12132,2018,,,66,,,,,,,,WOS:000422643600003,,wos,
12133,2009,,,66,,,,,,,,WOS:000271721400012,,wos,
12134,2017,,,66,,,,,,,,WOS:000392347600013,,wos,
12135,2018,,,66,,,,,,,,WOS:000422663500001,,wos,
12136,2018,,,66,,,,,,,,WOS:000435792300010,,wos,
12137,2010,,,66,,,,,,,,WOS:000281055000006,,wos,
12138,2019,,,66,,,,,,,,WOS:000500493300027,,wos,
12139,2018,,,66,,,,,,,,WOS:000422694002060,,wos,
12140,2016,,,66,,,,,,,,WOS:000386753600003,,wos,
12141,2018,,,66,,,,,,,,WOS:000422694006056,,wos,
12142,2018,,,66,,,,,,,,WOS:000422694900014,,wos,
12143,2018,,,66,,,,,,,,WOS:000422716700001,,wos,
12144,2014,,,66,,,,,,,,WOS:000333125000015,,wos,
12145,2018,,,66,,,,,,,,WOS:000422716900143,,wos,
12146,2018,,,66,,,,,,,,WOS:000422749500057,,wos,
12147,2018,,,66,,,,,,,,WOS:000422739300005,,wos,
12148,2017,,,66,,,,,,,,WOS:000422753600005,,wos,
12149,2018,,,66,,,,,,,,WOS:000422751200004,,wos,
12150,2018,,,66,,,,,,,,WOS:000422753900007,,wos,
12151,2016,,,66,,,,,,,,WOS:000381339600028,,wos,
12152,2018,,,66,,,,,,,,WOS:000422760200002,,wos,
12153,2017,,,66,,,,,,,,WOS:000422836400004,,wos,
12154,2018,,,66,,,,,,,,WOS:000422813300036,,wos,
12155,2015,,,66,,,,,,,,WOS:000354697800001,,wos,
12156,2018,,,66,,,,,,,,WOS:000422847300006,,wos,
12157,2018,,,66,,,,,,,,WOS:000454136400007,,wos,
12158,2018,,,66,,,,,,,,WOS:000428717600010,,wos,
12159,2019,,,66,,,,,,,,WOS:000507342400090,,wos,
12160,2019,,,66,,,,,,,,WOS:000458219800008,,wos,
12161,2020,,,66,,,,,,,,WOS:000499653000001,,wos,
12162,2016,,,66,,,,,,,,WOS:000385999200024,,wos,
12163,2016,,,66,,,,,,,,WOS:000383713800007,,wos,
