event_id,event_year,event_month,event_day,account_id,sampled,event_text,type,subtype,actors,places,keywords,wos_keys,bib_keys,extracted_from,comment
2900,2015,,,60,,,publication,,,,,000360589900020,nishimasu:2015,highly cited from field corpus,
2901,2014,,,60,,,publication,,,,,000345012700016,mandal:2014,highly cited from field corpus,
2902,2013,,,60,,,publication,,,,,000318558200039,sampson:2013,highly cited from field corpus,
2903,2015,,,60,,,publication,,,,,000362355400018,mazur:2015,highly cited from field corpus,
2904,2011,,,60,,,publication,,,,,000291857500021,semenova:2011,highly cited from field corpus,
2905,2013,,,60,,,publication,,,,,000327892200016,hruscha:2013,highly cited from field corpus,
2906,2014,,,60,,,publication,,,,,000349840100003,seeger:2014,highly cited from field corpus,
2907,2005,,,60,,,publication,,,,,000227070100004,mojica:2005,highly cited from field corpus,
2908,2015,,,60,,,publication,,,,,000358957500007,xu:2015,highly cited from field corpus,
2909,2014,,,60,,,publication,,,,,000339715000067,montague:2014,highly cited from field corpus,
2910,2016,,,60,,,publication,,,,,000388916600065,suzuki:2016,highly cited from field corpus,
2911,2014,,,60,,,publication,,,,,000347689500003,kabadi:2014,highly cited from field corpus,
2912,2014,,,60,,,publication,,,,,000341174800042,findlay:2014,highly cited from field corpus,
2913,2013,,,60,,,publication,,,,,000326746400002,jiang:2013a,highly cited from field corpus,
2914,2017,,,60,,,publication,,,,,000397282700011,joung:2017b,highly cited from field corpus,
2915,2010,,,60,,,publication,,,,,000281657300042,haurwitz:2010,highly cited from field corpus,
2916,2014,,,60,,,publication,,,,,000349777500001,jinek:2014,highly cited from field corpus,
2917,2017,,,60,,,publication,,,,,000400143000054,gootenberg:2017,highly cited from field corpus,
2918,2014,,,60,,,publication,,,,,000346280700017,schiml:2014,highly cited from field corpus,
2919,2015,,,60,,,publication,,,,,000354314500038,chu:2015,highly cited from field corpus,
2920,2015,,,60,,,publication,,,,,000364938300003,freedman:2015,highly cited from field corpus,
2921,2013,,,60,,,publication,,,,,000324174200024,yu:2013,highly cited from field corpus,
2922,2013,,,60,,,publication,,,,,000326507600029,esvelt:2013,highly cited from field corpus,
2923,2016,,,60,,,publication,,,,,000387872600001,horlbeck:2016,highly cited from field corpus,
2924,2013,,,60,,,publication,,,,,000324306300025,pattanayak:2013,highly cited from field corpus,
2925,2010,,,60,,,publication,,,,,000273981100057,marraffini:2010b,highly cited from field corpus,
2926,2015,,,60,,,publication,,,,,000352083100018,chavez:2015,highly cited from field corpus,
2927,2014,,,60,,,publication,,,,,000340880100013,gonzalez:2014,highly cited from field corpus,
2928,2014,,,60,,,publication,,,,,000334179300005,gratz:2014,highly cited from field corpus,
2929,2010,,,60,,,publication,,,,,000274649900009,marraffini:2010,highly cited from field corpus,
2930,2011,,,60,,,publication,,,,,000290614100019,makarova:2011a,highly cited from field corpus,
2931,2014,,,60,,,publication,,,,,000345776200002,oh:2014,highly cited from field corpus,
2932,2018,,,60,,,publication,,,,,000432115300015,adli:2018a,highly cited from field corpus,
2933,2012,,,60,,,publication,,,,,000305829000040,yosef:2012,highly cited from field corpus,
2934,2017,,,60,,,publication,,,,,000402291800005,schaefer:2017,highly cited from field corpus,
2935,2015,,,60,,,publication,,,,,000368286000009,shmakov:2015,highly cited from field corpus,
2936,2016,,,60,,,publication,,,,,000375473900052,paquet:2016,highly cited from field corpus,
2937,2017,,,60,,,publication,,,,,000400809800018,shimatani:2017,highly cited from field corpus,
2938,2014,,,60,,,publication,,,,,000342600300035,wang:2014b,highly cited from field corpus,
2939,2015,,,60,,,publication,,,,,000350862600022,jakounas:2015,highly cited from field corpus,
2940,2016,,,60,,,publication,,,,,000374815900051,fonfara:2016,highly cited from field corpus,
2941,2016,,,60,,,publication,,,,,000386671000050,east-seletsky:2016,highly cited from field corpus,
2942,2017,,,60,,,publication,,,,,000394499000001,kim:2017a,highly cited from field corpus,
2943,2016,,,60,,,publication,,,,,000379015600044,marceau:2016,highly cited from field corpus,
2944,2016,,,60,,,publication,,,,,000367944900037,flavahan:2016,highly cited from field corpus,
2945,2017,,,60,,,publication,,,,,000416590400033,cox:2017,highly cited from field corpus,
2946,2017,,,60,,,publication,,,,,000413247900063,chen:2017,highly cited from field corpus,
2947,2015,,,60,,,publication,,,,,000356019700027,shi:2015a,highly cited from field corpus,
2948,2015,,,60,,,publication,,,,,000364270700053,sternberg:2015b,highly cited from field corpus,
2949,2014,,,60,,,publication,,,,,000209690800001,esvelt:2014,highly cited from field corpus,
2950,2008,,,60,,,publication,,,,,000261398400014,hale:2008,highly cited from field corpus,
2951,2017,,,60,,,publication,,,,,000395901600008,tang:2017,highly cited from field corpus,
2952,2015,,,60,,,publication,,,,,000366422600046,yang:2015,highly cited from field corpus,
2953,2015,,,60,,,publication,,,,,000359738300080,schumann:2015,highly cited from field corpus,
2954,2016,,,60,,,publication,,,,,000369098800016,thakore:2016,highly cited from field corpus,
2955,2013,,,60,,,publication,,,,,000329571700008,schwank:2013,highly cited from field corpus,
2956,2016,,,60,,,publication,,,,,000379324700011,wang:2016b,highly cited from field corpus,
