event_id,event_year,event_month,event_day,account_id,sampled,event_text,type,subtype,actors,places,keywords,wos_keys,bib_keys,extracted_from,comment
348,2017,,,9,,,publication,,,,,000405401300001,morgan:2017,reference list,
349,2011,,,9,,,publication,,,,,000287023000021,miller:2011,reference list,
350,2014,,,9,,,publication,,,,,000337956100013,anton:2014,reference list,
351,2016,,,9,,,publication,,,,,000376748000001,wang:2016a,reference list,
352,2013,,,9,,,publication,,,,,000324306300022,fu:2013,reference list,
353,2013,,,9,,,publication,,,,,000325278000007,cheng:2013,reference list,
354,2017,,,9,,,publication,,,,,000401223400001,kwon:2017,reference list,
355,1996,,,9,,,publication,,,,,A1996VF88400008,friedman:1996,reference list,
356,2014,,,9,,,publication,,,,,000345763400031,doudna:2014,reference list,
357,2011,,,9,,,publication,,,,,000288366500004,liang:2011,reference list,
358,2014,,,9,,,publication,,,,,000329162000053,shalem:2014,reference list,
359,2016,,,9,,,publication,,,,,000368758200030,hammond:2016,reference list,
360,1987,,,9,,,publication,,,,,A1987L042600013,ishino:1987,reference list,
361,2007,,,9,,,publication,,,,,000245572200007,ptashne:2007,reference list,
362,2016,,,9,,,publication,,,,,000377846400032,oakes:2016,reference list,
363,2016,,,9,,,publication,,,,,000378393600047,bialek:2016,reference list,
364,2013,,,9,,,publication,,,,,000328251900027,mendenhall:2013,reference list,
365,2016,,,9,,,publication,,,,,000389133000025,gao:2016a,reference list,
366,2013,,,9,,,publication,,,,,000324306300025,pattanayak:2013,reference list,
367,2010,,,9,,,publication,,,,,000281115600012,urnov:2010,reference list,
368,2014,,,9,,,publication,,,,,000337233800021,guilinger:2014,reference list,
369,2003,,,9,,,publication,,,,,000185675600005,urrutia:2003,reference list,
370,2000,,,9,,,publication,,,,,000086338200024,mojica:2000,reference list,
371,2004,,,9,,,publication,,,,,000226109700007,shi:2004,reference list,
372,2015,,,9,,,publication,,,,,000352454600031,ran:2015,reference list,
373,2015,,,9,,,publication,,,,,000349198800025,tsai:2015,reference list,
374,2013,,,9,,,publication,,,,,000326883900014,miyanari:2013,reference list,
375,2016,,,9,,,publication,,,,,000389133000012,kuscu:2016,reference list,
376,2012,,,9,,,publication,,,,,000308347000040,thurman:2012,reference list,
377,2015,,,9,,,publication,,,,,000352348500025,dow:2015,reference list,
378,2013,,,9,,,publication,,,,,000325073800017,perez-pinera:2013a,reference list,
379,2014,,,9,,,publication,,,,,000340944700015,deng:2014,reference list,
380,2016,,,9,,,publication,,,,,000376671200001,fu:2016,reference list,
381,1998,,,9,,,publication,,,,,000079081300005,jeggo:1998,reference list,
382,2016,,,9,,,publication,,,,,000367364200048,slaymaker:2016,reference list,
383,2003,,,9,,,publication,,,,,000183948400004,wysocka:2003,reference list,
384,1992,,,9,,,publication,,,,,A1992JJ19800040,hardwick:1992,reference list,
385,2013,,,9,,,publication,,,,,000314874400050,mali:2013a,reference list,
386,2012,,,9,,,publication,,,,,000308347000039,dunham:2012,reference list,
387,2014,,,9,,,publication,,,,,000209690800001,esvelt:2014,reference list,
388,2015,,,9,,,publication,,,,,000365890700022,thakore:2015,reference list,
389,2014,,,9,,,publication,,,,,000338705900033,wu:2014,reference list,
390,2016,,,9,,,publication,,,,,000381210900016,vojta:2016,reference list,
391,2000,,,9,,,publication,,,,,000084687400035,strahl:2000,reference list,
392,2014,,,9,,,publication,,,,,000344521700018,tanenbaum:2014,reference list,
393,2015,,,9,,,publication,,,,,000352079500016,baltimore:2015,reference list,
394,2017,,,9,,,publication,,,,,000406925300016,barrangou:2017,reference list,
395,2018,,,9,,,publication,,,,,000419816600037,dunbar:2018,reference list,
396,2011,,,9,,,publication,,,,,000297375700025,sapranauskas:2011,reference list,
397,2015,,,9,,,publication,,,,,000350646500038,ma:2015a,reference list,
398,2011,,,9,,,publication,,,,,000287023000022,zhang:2011,reference list,
399,2002,,,9,,,publication,,,,,000174710000017,jansen:2002,reference list,
400,2017,,,9,,,publication,,,,,000405175900001,lei:2017,reference list,
401,2016,,,9,,,publication,,,,,000389133000023,ma:2016a,reference list,
402,2016,,,9,,,publication,,,,,000378109400023,mcdonald:2016,reference list,
403,2006,,,9,,,publication,,,,,000244032500001,makarova:2006a,reference list,
404,2013,,,9,,,publication,,,,,000325073800018,maeder:2013,reference list,
405,2001,,,9,,,publication,,,,,000165847300028,bibikova:2001,reference list,
406,2018,,,9,,,publication,,,,,000424636700007,galonska:2018,reference list,
407,2015,,,9,,,publication,,,,,000364828900027,zetsche:2015a,reference list,
408,2007,,,9,,,publication,,,,,000250683300039,lindhout:2007,reference list,
409,2017,,,9,,,publication,,,,,000416499500013,koonin:2017,reference list,
410,2016,,,9,,,publication,,,,,000414793800001,xu:2016,reference list,
411,2016,,,9,,,publication,,,,,000370867300018,hirano:2016,reference list,
412,2013,,,9,,,publication,,,,,000321950700019,gilbert:2013,reference list,
413,2002,,,9,,,publication,,,,,000177998100029,seligman:2002,reference list,
414,1985,,,9,,,publication,,,,,A1985AQV6800044,smithies:1985,reference list,
415,2015,,,9,,,publication,,,,,000348775000036,konermann:2015,reference list,
416,2014,,,9,,,publication,,,,,000346159300002,chakraborty:2014,reference list,
417,2013,,,9,,,publication,,,,,000314874400049,cong:2013,reference list,
418,2014,,,9,,,publication,,,,,000346448900004,lin:2014a,reference list,
419,2014,,,9,,,publication,,,,,000334340800019,sander:2014,reference list,
420,2015,,,9,,,publication,,,,,000354314500032,hilton:2015,reference list,
421,2005,,,9,,,publication,,,,,000231459000006,bolotin:2005,reference list,
422,2015,,,9,,,publication,,,,,000349198800015,zetsche:2015b,reference list,
423,2012,,,9,,,publication,,,,,000307535600036,jinek:2012,reference list,
424,2014,,,9,,,publication,,,,,000340881400006,hsu:2014,reference list,account_publication
425,2017,,,9,,,publication,,,,,000412344700008,pulecio:2017,reference list,
426,2016,,,9,,,publication,,,,,000393191300047,xiong:2016b,reference list,
427,2011,,,9,,,publication,,,,,000293919600049,li:2011,reference list,
428,2003,,,9,,,publication,,,,,000182579800039,porteus:2003,reference list,
429,2015,,,9,,,publication,,,,,000350670300025,kim:2015,reference list,
430,2015,,,9,,,publication,,,,,000347923200029,zalatan:2015,reference list,
431,2016,,,9,,,publication,,,,,000375800300021,yamano:2016,reference list,
432,2018,,,9,,,publication,,,,,000422663500005,doench:2018,reference list,
433,2016,,,9,,,publication,,,,,000383444400036,nishida:2016,reference list,
434,2017,,,9,,,publication,,,,,000402831800024,klann:2017,reference list,
435,2005,,,9,,,publication,,,,,000227707100005,pourcel:2005,reference list,
436,2012,,,9,,,publication,,,,,000304099100044,dixon:2012,reference list,
437,2005,,,9,,,publication,,,,,000227070100004,mojica:2005,reference list,
438,2015,,,9,,,publication,,,,,000353338000036,gantz:2015b,reference list,
439,2013,,,9,,,publication,,,,,000325988400041,kohli:2013,reference list,
440,2017,,,9,,,publication,,,,,000416043700037,gaudelli:2017,reference list,
441,2011,,,9,,,publication,,,,,000290614100019,makarova:2011a,reference list,
442,2008,,,9,,,publication,,,,,000258436700038,brouns:2008,reference list,
443,2017,,,9,,,publication,,,,,000393446800016,fellmann:2017,reference list,
444,2009,,,15,,,publication,,,,,000264515100009,mojica:2009,reference list,
445,2015,,,15,,,publication,,,,,000364828900027,zetsche:2015a,reference list,
446,2016,,,15,,,publication,,,,,000368339300006,lander:2016,reference list,account_publication
447,2005,,,15,,,publication,,,,,000229490100016,capecchi:2005,reference list,
448,2015,,,15,,,publication,,,,,000368286000009,shmakov:2015,reference list,
449,2010,,,15,,,publication,,,,,000283786900036,garneau:2010,reference list,
450,2014,,,15,,,publication,,,,,000329162000052,wang:2014a,reference list,
451,2002,,,15,,,publication,,,,,000175908600040,tang:2002,reference list,
452,2015,,,15,,,publication,,,,,000360965500015,chang:2015,reference list,
453,2015,,,15,,,publication,,,,,000354877900047,kachroo:2015,reference list,
454,2011,,,15,,,publication,,,,,000290614100019,makarova:2011a,reference list,
455,2016,,,15,,,publication,,,,,000370867300018,hirano:2016,reference list,
456,2013,,,15,,,publication,,,,,000318844000018,wang:2013a,reference list,
457,2014,,,15,,,publication,,,,,000338834300001,torres:2014,reference list,
458,2016,,,15,,,publication,,,,,000367364200048,slaymaker:2016,reference list,
459,2015,,,15,,,publication,,,,,000364469800001,peng:2015a,reference list,
460,2015,,,15,,,publication,,,,,000365319700001,karvelis:2015,reference list,
461,2015,,,15,,,publication,,,,,000358378900041,kleinstiver:2015b,reference list,
462,1993,,,15,,,publication,,,,,A1993MM63500016,groenen:1993,reference list,
463,2014,,,15,,,publication,,,,,000340881400006,hsu:2014,reference list,account_publication
464,2014,,,15,,,publication,,,,,000341434600002,seruggia:2014,reference list,
465,2000,,,15,,,publication,,,,,000087871700049,mccreath:2000,reference list,
466,2009,,,15,,,publication,,,,,000272169400018,hale:2009,reference list,
467,2012,,,15,,,publication,,,,,000309604500003,gasiunas:2012,reference list,
468,2014,,,15,,,publication,,,,,000338427600010,oost:2014,reference list,
469,2014,,,15,,,publication,,,,,000332651800044,swarts:2014,reference list,
470,2014,,,15,,,publication,,,,,000333749900019,shen:2014a,reference list,
471,2016,,,15,,,publication,,,,,000368673800029,kleinstiver:2016a,reference list,
472,2015,,,15,,,publication,,,,,000354054700006,liang:2015b,reference list,
473,2014,,,15,,,publication,,,,,000334340800019,sander:2014,reference list,
474,2014,,,15,,,publication,,,,,000329162000053,shalem:2014,reference list,
475,2015,,,15,,,publication,,,,,000352671900007,selle:2015,reference list,
476,2008,,,15,,,publication,,,,,000253005800028,deveau:2008,reference list,
477,2013,,,15,,,publication,,,,,000314874400049,cong:2013,reference list,
478,2015,,,15,,,publication,,,,,000359995500107,crispo:2015,reference list,
479,2014,,,15,,,publication,,,,,000346484800053,maddalo:2014,reference list,
480,2005,,,15,,,publication,,,,,000227070100004,mojica:2005,reference list,
481,2005,,,15,,,publication,,,,,000231459000006,bolotin:2005,reference list,
482,1992,,,15,,,publication,,,,,A1992HY05300071,gossen:1992,reference list,
483,2007,,,15,,,publication,,,,,000245106900039,barrangou:2007,reference list,
484,2015,,,15,,,publication,,,,,000366422600046,yang:2015,reference list,
485,2005,,,15,,,publication,,,,,000234713300005,haft:2005,reference list,
