UT	Date	Cit	Specific_Cases
000316439500017	2013	77	
000316439500017	2020	29	
000316439500016	2016	240	
000316439500016	2014	234	
000316439500016	2015	219	
000316439500016	2017	188	
000316439500016	2018	180	
000316439500016	2019	174	
000316439500016	2013	126	
000316439500016	2020	43	
000314874400050	2018	688	mali:2013
000314874400050	2016	681	mali:2013
000314874400050	2017	679	mali:2013
000314874400050	2019	593	mali:2013
000314874400050	2015	564	mali:2013
000314874400050	2014	513	mali:2013
000314874400050	2013	200	mali:2013
000314874400050	2020	156	mali:2013
000314874400049	2018	1111	cong:2013
000314874400049	2017	1078	cong:2013
000314874400049	2019	1033	cong:2013
000314874400049	2016	955	cong:2013
000314874400049	2015	691	cong:2013
000314874400049	2014	559	cong:2013
000314874400049	2020	259	cong:2013
000314874400049	2013	192	cong:2013
000309604500003	2017	164	
000309604500003	2019	163	
000309604500003	2018	145	
000309604500003	2016	140	
000309604500003	2015	118	
000309604500003	2014	95	
000309604500003	2013	61	
000309604500003	2020	40	
000309604500003	2012	1	
000307535600036	2019	910	jinek:2012
000307535600036	2018	887	jinek:2012
000307535600036	2017	837	jinek:2012
000307535600036	2016	747	jinek:2012
000307535600036	2015	499	jinek:2012
000307535600036	2014	363	jinek:2012
000307535600036	2020	254	jinek:2012
000307535600036	2013	167	jinek:2012
000307535600036	2012	11	jinek:2012
000301954600006	2013	16	
000301954600006	2015	15	
000301954600006	2014	14	
000301954600006	2012	7	
000301954600006	2018	7	
000301954600006	2019	7	
000301954600006	2016	6	
000301954600006	2017	5	
000301954600006	2020	3	
000297375700025	2015	62	
000297375700025	2018	45	
000297375700025	2016	43	
000297375700025	2014	42	
000297375700025	2013	40	
000297375700025	2017	37	
000297375700025	2019	32	
000297375700025	2012	21	
000297375700025	2020	6	
000297375700025	2011	1	
000288317600002	2012	21	
000288317600002	2013	17	
000288317600002	2014	11	
000288317600002	2017	9	
000288317600002	2018	9	
000288317600002	2011	7	
000288317600002	2016	4	
000288317600002	2019	4	
000288317600002	2015	3	
000288317600002	2020	1	
000280903800001	2019	28	
000280903800001	2015	24	
000280903800001	2017	22	
000280903800001	2014	21	
000280903800001	2016	21	
000280903800001	2011	18	
000280903800001	2013	18	
000280903800001	2012	15	
000280903800001	2018	13	
000280903800001	2020	8	
000280903800001	2010	1	
000273847900004	2011	48	
000273847900004	2012	42	
000273847900004	2013	28	
000273847900004	2015	18	
000273847900004	2019	16	
000273847900004	2016	14	
000273847900004	2018	12	
000273847900004	2017	11	
000273847900004	2010	10	
000273847900004	2014	8	
000273847900004	2020	3	
000272169400018	2013	72	
000272169400018	2015	71	
000272169400018	2014	66	
000272169400018	2019	58	
000272169400018	2017	57	
000272169400018	2011	56	
000272169400018	2012	56	
000272169400018	2016	52	
000272169400018	2018	32	
000272169400018	2010	25	
000272169400018	2020	14	
000261799400054	2019	106	
000261799400054	2017	97	
000261799400054	2015	80	
000261799400054	2016	78	
000261799400054	2018	75	
000261799400054	2013	69	
000261799400054	2014	67	
000261799400054	2011	66	
000261799400054	2012	58	
000261799400054	2010	41	
